# Hosts information in Wireshark 
#
# Host data gathered from /Users/sarah/Documents/tu/Rechnernetze/block07/trace.cap

199.71.40.129       www.canada.com
205.200.16.65       dns1.mts.net
199.71.43.50        martha.canada.com
207.126.111.225       virtual-fxfeeds.mozilla.org
140.174.164.2       ns.meer.net
207.126.111.203       ns.mozilla.org
128.193.0.10        ns1.oregonstate.edu
216.206.136.2       ns2.meer.net
128.193.4.20        ns2.oregonstate.edu
212.58.226.53       newsrss.bbc.net.uk
212.58.224.20       ns0.thdo.bbc.co.uk
212.58.240.20       ns0.thny.bbc.co.uk
208.38.45.169       a123.g.akamai.net
208.38.45.184       a123.g.akamai.net
208.38.45.164       n0g.akamai.net
208.38.45.172       n1g.akamai.net
208.187.212.220       n6g.akamai.net
209.190.244.44        n7g.akamai.net
209.62.176.181        ad.3ad.doubleclick.net
216.73.86.21        anny3dns1.3ad.doubleclick.net
216.73.86.151       anny3dns2.3ad.doubleclick.net
209.62.176.21       eqnj3dns1.3ad.doubleclick.net
209.62.176.151        eqnj3dns2.3ad.doubleclick.net
216.73.87.21        eqva3dns1.3ad.doubleclick.net
216.73.87.151       eqva3dns2.3ad.doubleclick.net
65.205.8.21       uuva3dns1.3ad.doubleclick.net
65.205.8.151        uuva3dns2.3ad.doubleclick.net
199.71.40.139       members.canada.com
208.187.91.202        ad.dynamic.linksynergy.com
63.123.248.7        ad.dynamic.linksynergy.com
63.123.248.8        ad.dynamic.linksynergy.com
208.187.91.201        ad.dynamic.linksynergy.com
216.35.71.70        ns6.linksynergy.com
216.35.71.110       ns7.linksynergy.com
63.123.248.6        ns8.linksynergy.com
72.14.203.104       pagead.l.google.com
72.14.203.99        pagead.l.google.com
216.239.53.9        a.l.google.com
64.233.179.9        b.l.google.com
64.233.161.9        c.l.google.com
64.233.183.9        d.l.google.com
66.102.11.9       e.l.google.com
64.233.167.9        g.l.google.com
199.71.40.137       media.canada.com
65.205.8.187        m.2mdn.net
65.59.207.11        eqch3dns1.2mdn.net
216.73.85.23        eqsj3dns1.2mdn.net
208.38.45.168       a1849.gc.akamai.net
208.38.45.182       a1849.gc.akamai.net
208.38.45.183       a1849.gc.akamai.net
208.38.45.134       a1849.gc.akamai.net
209.62.176.51       ad.3ad.doubleclick.net
65.216.78.79        dclick-cname.speedera.net
65.169.170.141        dclick-cname.speedera.net
208.185.54.61       a.speedera.net
210.224.186.3       f.speedera.net
64.14.117.35        h.speedera.net
212.162.1.222       m.speedera.net
64.41.146.225       x.speedera.net
212.187.170.30        y.speedera.net
216.200.69.12       z.speedera.net
159.33.166.3        radio3.cbc.ca
159.33.1.51       ns.cbc.ca
207.181.89.2        ns1.nbc.netcom.ca
207.181.89.3        ns2.nbc.netcom.ca
209.226.175.236       ns5.bellnexxia.net
209.226.175.237       ns6.bellnexxia.net
207.188.7.81        switchboardrr1.real.com
207.188.22.20       NS1.real.com
207.188.7.20        NS2.real.com
64.157.228.209        NS3.real.com
64.157.228.20       listen.real.com
64.192.137.102        a1651.lrg6.akareal.net
64.192.137.100        n1lrg6.akareal.net
64.192.137.101        n2lrg6.akareal.net
63.214.53.34        n4lrg6.akareal.net
80.15.249.131       n5lrg6.akareal.net
